whiskey,reviews,average,std_dev,type,brand,dist,owner,lat,lng,zoom
High West Campfire,28,85.46,7.65,American Whiskey,High West,High West,Constellation Brands,40.808274,-111.444556,17
High West Double Rye,32,83.62,8.22,Rye,High West,High West,Constellation Brands,40.808274,-111.444556,17
High West Rendezvous Rye,49,87.57,5.41,Rye,High West,High West,Constellation Brands,40.808274,-111.444556,17
High West Son of Bourye,15,85.4,4.63,American Whiskey,High West,High West,Constellation Brands,40.808274,-111.444556,17
High West Yippee Ki Yay,12,81.33,9.98,Rye,High West,High West,Constellation Brands,40.808274,-111.444556,17
Highland Park 12,171,83.86,7.15,Scotch (Islands),Highland Park,Highland Park,Edrington,58.968813,-2.95542,17
Highland Park 15,25,83.84,7.65,Scotch (Islands),Highland Park,Highland Park,Edrington,58.968813,-2.95542,17
Highland Park 15 Freya,10,86.7,4.69,Scotch (Islands),Highland Park,Highland Park,Edrington,58.968813,-2.95542,17
Highland Park 15 Loki,12,87.17,3.21,Scotch (Islands),Highland Park,Highland Park,Edrington,58.968813,-2.95542,17
Highland Park 18,81,86.9,5.96,Scotch (Islands),Highland Park,Highland Park,Edrington,58.968813,-2.95542,17
Highland Park 25,25,89.76,4.47,Scotch (Islands),Highland Park,Highland Park,Edrington,58.968813,-2.95542,17
Highland Park Dark Origins,30,82.77,7.02,Scotch (Islands),Highland Park,Highland Park,Edrington,58.968813,-2.95542,17
J&B Rare,13,46.23,22.33,Scotch (Blend),J&B Rare,Blended (Scotch),Diageo,56.745487,-4.242247,7
J.P. Wiser's 18,9,81.0,6.16,Canadian Whisky,J.P. Wiser's,Hiram Walker & Sons,Pernod Ricard,42.326855,-83.006842,17
J.P. Wiser's Dissertation,10,84.5,2.84,Canadian Whisky,J.P. Wiser's,Hiram Walker & Sons,Pernod Ricard,42.326855,-83.006842,17
J.P. Wiser's Last Barrels,9,80.89,3.95,Canadian Whisky,J.P. Wiser's,Hiram Walker & Sons,Pernod Ricard,42.326855,-83.006842,17
Jack Daniel's Old No. 7,35,69.89,10.11,Bourbon,Jack Daniels,Jack Daniels,Brown-Forman,35.284384,-86.366846,17
Jack Daniel's Single Barrel,21,77.48,9.67,Bourbon,Jack Daniels,Jack Daniels,Brown-Forman,35.284384,-86.366846,17
Jameson,24,73.0,8.11,Irish Whiskey,Jameson,Midleton,Pernod Ricard,51.916295,-8.165147,17
Jefferson's 10 Rye Whiskey,8,86.25,4.4,Rye,Jefferson's,Jefferson's,Castle Brands,38.336291,-85.462697,17
Jim Beam Black 8 Double Aged,19,77.05,10.42,Bourbon,Jim Beam,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Jim Beam Bonded,13,80.15,6.48,Bourbon,Jim Beam,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Jim Beam Devil's Cut,12,74.83,5.81,Bourbon,Jim Beam,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Jim Beam Signature Craft 12,10,77.1,8.85,Bourbon,Jim Beam,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Jim Beam White Label,34,68.88,9.16,Bourbon,Jim Beam,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Johnnie Walker Black Label,92,76.83,8.84,Scotch (Blend),Johnnie Walker,Blended (Scotch),Diageo,56.745487,-4.242247,7
Johnnie Walker Blue Label,39,79.51,7.45,Scotch (Blend),Johnnie Walker,Blended (Scotch),Diageo,56.745487,-4.242247,7
Johnnie Walker Double Black,27,77.93,6.64,Scotch (Blend),Johnnie Walker,Blended (Scotch),Diageo,56.745487,-4.242247,7
Johnnie Walker Gold Label,27,79.74,5.9,Scotch (Blend),Johnnie Walker,Blended (Scotch),Diageo,56.745487,-4.242247,7
Johnnie Walker Green Label,80,82.9,6.1,Scotch (Blend),Johnnie Walker,Blended (Scotch),Diageo,56.745487,-4.242247,7
Johnnie Walker Platinum Label,19,76.89,13.13,Scotch (Blend),Johnnie Walker,Blended (Scotch),Diageo,56.745487,-4.242247,7
Johnnie Walker Red Label,54,50.98,14.21,Scotch (Blend),Johnnie Walker,Blended (Scotch),Diageo,56.745487,-4.242247,7
Johnny Drum Private Stock,9,77.78,4.82,Bourbon,Johnny Drum,Willett,Willett,37.78489,-85.461244,17
Jura 10 Origin,35,72.29,9.79,Scotch (Islands),Jura,Jura,Whyte & Mackay,55.832808,-5.951614,17
Jura 16,25,80.76,5.35,Scotch (Islands),Jura,Jura,Whyte & Mackay,55.832808,-5.951614,17
Jura Prophecy,16,81.34,6.17,Scotch (Islands),Jura,Jura,Whyte & Mackay,55.832808,-5.951614,17
Jura Superstition,42,77.4,6.6,Scotch (Islands),Jura,Jura,Whyte & Mackay,55.832808,-5.951614,17
Kavalan Concertmaster,10,78.7,11.23,World,Kavalan,Kavalan,King Car Group,24.713754,121.690988,17
Kavalan Solist Ex-Bourbon,14,85.71,7.55,World,Kavalan,Kavalan,King Car Group,24.713754,121.690988,17
Kavalan Solist Sherry,25,82.84,6.75,World,Kavalan,Kavalan,King Car Group,24.713754,121.690988,17
Kavalan Solist Vinho Barrique,16,87.69,4.35,World,Kavalan,Kavalan,King Car Group,24.713754,121.690988,17
Kilchoman Coull Point,15,80.87,6.38,Scotch (Islay),Kilchoman,Kilchoman,Kilchoman,55.786916,-6.430513,17
Kilchoman Loch Gorm,26,85.5,5.48,Scotch (Islay),Kilchoman,Kilchoman,Kilchoman,55.786916,-6.430513,17
Kilchoman Machir Bay,71,84.8,6.23,Scotch (Islay),Kilchoman,Kilchoman,Kilchoman,55.786916,-6.430513,17
Kilchoman Port Cask Matured,18,87.72,5.1,Scotch (Islay),Kilchoman,Kilchoman,Kilchoman,55.786916,-6.430513,17
Kilchoman Sanaig,20,82.9,6.87,Scotch (Islay),Kilchoman,Kilchoman,Kilchoman,55.786916,-6.430513,17
