whiskey,Reco_1,Reco_2,Reco_3,Reco_4,Reco_5,Reco_6,Reco_7,Reco_8,Reco_9,Reco_10,Reco_11,Reco_12,Reco_13,Reco_14,Reco_15,Reco_16,Reco_17,Reco_18,Reco_19,Reco_20,Reco_21,Reco_22,Reco_23,Reco_24,Reco_25,Reco_26,Reco_27,Reco_28,Reco_29,Reco_30,Reco_31,Reco_32,Reco_33,Reco_34,Reco_35,Reco_36,Reco_37,Reco_38,Reco_39,Reco_40,Reco_41,Reco_42,Reco_43,Reco_44,Reco_45,Reco_46,Reco_47,Reco_48,Reco_49,Reco_50,TF_Similarity_1,TF_Similarity_2,TF_Similarity_3,TF_Similarity_4,TF_Similarity_5,TF_Similarity_6,TF_Similarity_7,TF_Similarity_8,TF_Similarity_9,TF_Similarity_10,TF_Similarity_11,TF_Similarity_12,TF_Similarity_13,TF_Similarity_14,TF_Similarity_15,TF_Similarity_16,TF_Similarity_17,TF_Similarity_18,TF_Similarity_19,TF_Similarity_20,TF_Similarity_21,TF_Similarity_22,TF_Similarity_23,TF_Similarity_24,TF_Similarity_25,TF_Similarity_26,TF_Similarity_27,TF_Similarity_28,TF_Similarity_29,TF_Similarity_30,TF_Similarity_31,TF_Similarity_32,TF_Similarity_33,TF_Similarity_34,TF_Similarity_35,TF_Similarity_36,TF_Similarity_37,TF_Similarity_38,TF_Similarity_39,TF_Similarity_40,TF_Similarity_41,TF_Similarity_42,TF_Similarity_43,TF_Similarity_44,TF_Similarity_45,TF_Similarity_46,TF_Similarity_47,TF_Similarity_48,TF_Similarity_49,TF_Similarity_50
Breckenridge Bourbon,Michter's 10 Rye,Rittenhouse Rye 100,WhistlePig 10 Straight Rye,High West Double Rye,High West Bourye,Pikesville Rye,High West Rendezvous Rye,Michter's Barrel Strength Rye,Colonel E.H. Taylor Straight Rye,Bulleit Rye,Willett Family Estate Rye 4y,Sazerac Rye,Bulleit Bourbon,Four Roses Single Barrel,Thomas H. Handy 2013,Blanton's Original Single Barrel,Russell's Reserve Single Barrel Rye,Jefferson's 10 Rye Whiskey,Smooth Ambler Old Scout Rye 7,Willett Family Estate Rye 3y,Four Roses Single Barrel Private Selection OBSQ,Old Grand Dad 114,Four Roses Small Batch,High West Campfire,High West Son of Bourye,Thomas H. Handy 2014,Woodford Reserve Distiller's Select,Basil Hayden's,Old Grand Dad 100 Bottled in Bond,Elmer T. Lee,Bulleit Bourbon 10,Wild Turkey 101,Angel's Envy Rye,Buffalo Trace,Willett Family Estate Rye 2y,Wild Turkey Forgiven,Wild Turkey 101 Rye,Millstone 100 Rye,Alberta Premium Dark Horse,Knob Creek Rye,High West A Midwinter Nights Dram,Lot No. 40,J.P. Wiser's Dissertation,Very Old Barton Bottled In Bond,Booker's Rye,1792 Ridgemont Reserve,Collingwood 21,Colonel E.H. Taylor Small Batch,Four Roses Yellow Label,Russell's Reserve Single Barrel Bourbon,0.5691,0.5623,0.5443,0.5427,0.5238,0.5135,0.5103,0.503,0.5026,0.5017,0.5014,0.4911,0.4876,0.4775,0.4558,0.4474,0.4424,0.4404,0.4348,0.4314,0.4224,0.4191,0.4169,0.4153,0.4129,0.405,0.4033,0.4029,0.4,0.3978,0.3954,0.3921,0.3898,0.3888,0.3854,0.3826,0.3796,0.3574,0.3493,0.3457,0.3452,0.3412,0.3401,0.338,0.3348,0.3294,0.326,0.3212,0.3174,0.3161
Tomintoul 16,Glenfiddich 12,Glenlivet 12,Macallan 10 Fine Oak,Glenmorangie 10 Original,Glenfiddich 15,Balvenie 12 Doublewood,Arran 10,Glenlivet 16 Nadurra,Glenfarclas 12,Glenlivet 18,Glenfiddich 18,Tomatin 12,AnCnoc 12,Glenlivet 15 French Oak Reserve,Aberlour 10,Bushmills Black Bush,Dalwhinnie 15,Cragganmore 12,Oban 14,Aberlour 12 Non Chill Filtered,Glenmorangie Lasanta,Glenfarclas 17,Chivas Regal 12,Monkey Shoulder,Bunnahabhain 12,Balvenie 17 Doublewood,Dalmore 12,Tobermory 10,Bunnahabhain 18,Glenfarclas 105 Cask Strength,Glenfarclas 25,BenRiach 12,Royal Lochnagar 12,Macallan 12 Sherry,Benromach 10,Glenkinchie 12,GlenDronach 15 Revival,Macallan 18 Sherry,GlenDronach 12 Original,Aberlour 12 Double Cask Matured,Balvenie 15 Single Barrel,Macallan 15 Fine Oak,Auchentoshan 12,Highland Park 12,Singleton of Glendullan 12,Macallan Sherry Cask Strength,Arran 14,Auchentoshan Three Wood,Springbank 10,Glengoyne 21,0.3277,0.3152,0.2916,0.2818,0.2796,0.2731,0.267,0.2662,0.2654,0.2638,0.2635,0.2528,0.2515,0.2463,0.246,0.239,0.2328,0.2257,0.2212,0.2184,0.2174,0.2119,0.2108,0.2101,0.2094,0.2088,0.2087,0.207,0.2063,0.204,0.2008,0.2,0.1999,0.1971,0.1965,0.195,0.1926,0.1925,0.1921,0.1918,0.1904,0.1895,0.1894,0.1886,0.1885,0.1867,0.1854,0.1838,0.1828,0.1814
Laphroaig 25 Cask Strength 2008,Lagavulin 16,Laphroaig Quarter Cask,Ardbeg 10,Laphroaig 18,Ardbeg Uigeadail,Caol Ila 12,Talisker 10,Laphroaig 10,Kilchoman Machir Bay,Lagavulin 12,Laphroaig 10 Cask Strength,Ardbeg Corryvreckan,Talisker 57° North,Ledaig 10,Lagavulin 8,Bruichladdich Octomore 6.1,Bowmore 12,Laphroaig Triplewood,Highland Park 12,Bruichladdich Port Charlotte Scottish Barley,Ardbeg Ardbog,Springbank 10,Talisker 18,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Longrow Peated,Compass Box Peat Monster,Ardmore Traditional Cask Peated,Ardbeg Airigh Nam Beist 1990,Ardbeg Galileo,Benromach 10,Finlaggan Old Reserve,Bunnahabhain Toiteach,Laphroaig Cairdeas 2015,Bowmore 18,Balvenie 17 Peated Cask,Bowmore 15 Darkest,Springbank 15,Laphroaig Cairdeas 2013 Portwood,Laphroaig 15,Laphroaig Cairdeas 2012 Origin,BenRiach 10 Curiositas,Bruichladdich Port Charlotte 10,Laphroaig Cairdeas 2016 Madeira,Highland Park 18,Bruichladdich Port Charlotte The Peat Project,Talisker 25,Bruichladdich The Laddie Ten,Kilchoman Loch Gorm,Laphroaig Cairdeas 2014 Amontillado,Highland Park 15 Loki,0.6955,0.6846,0.6786,0.6751,0.6717,0.6621,0.662,0.6467,0.63,0.6283,0.6265,0.6179,0.6049,0.5952,0.595,0.5884,0.5874,0.5866,0.5858,0.5843,0.5749,0.5606,0.5534,0.5519,0.5472,0.5458,0.5447,0.5417,0.5414,0.5382,0.5374,0.5368,0.5299,0.5252,0.5234,0.5233,0.5228,0.5226,0.5206,0.5167,0.515,0.5105,0.5085,0.5046,0.4931,0.4923,0.4919,0.489,0.4882,0.487
Glenrothes Select Reserve,Aberfeldy 12,Glenlivet 12,Monkey Shoulder,Glenmorangie 10 Original,Glenfiddich 12,Chivas Regal 12,Macallan 10 Fine Oak,Cragganmore 12,Glenlivet 15 French Oak Reserve,Dalwhinnie 15,Tobermory 10,Glenlivet 16 Nadurra,Dewar's White Label,AnCnoc 12,Arran 10,Speyburn 10,Johnnie Walker Red Label,Tomatin 12,Glenfiddich 15,Auchentoshan Valinch,Balvenie 12 Doublewood,Jameson,Cardhu 12,Balvenie 15 Single Barrel,Oban 14,Cutty Sark,Glenfiddich 18,Glenkinchie 12,Johnnie Walker Black Label,Craigellachie 13,Wild Turkey 81,Deanston Virgin Oak,Glenlivet 18,Bruichladdich The Laddie Ten,Old Pulteney 12,Glenfarclas 12,Arran 14,Auchentoshan Three Wood,Balvenie 12 Single Barrel First Fill,Aberlour 12 Double Cask Matured,J&B Rare,Dalmore 15,GlenDronach 12 Original,Clynelish 14,Compass Box Great King St. Artist's Blend,Aberlour 10,Auchentoshan Classic,Dalmore 12,Bunnahabhain 18,Glenfiddich 14 Rich Oak,0.2434,0.2335,0.2315,0.2261,0.215,0.1974,0.1973,0.1932,0.1926,0.1871,0.1807,0.1798,0.1795,0.1794,0.1697,0.164,0.1638,0.1589,0.1569,0.1532,0.1503,0.1471,0.1462,0.1454,0.1443,0.1435,0.143,0.1406,0.1384,0.1381,0.1329,0.1319,0.1301,0.1295,0.1253,0.1249,0.1214,0.1203,0.1186,0.1162,0.1152,0.1139,0.1134,0.1131,0.1126,0.1126,0.1125,0.1119,0.1111,0.1098
Bushmills 10,Redbreast 12,Green Spot,Jameson,Bushmills Black Bush,Redbreast 15,Yellow Spot,Teeling Small Batch,Redbreast 12 Cask Strength,Glenfiddich 12,Monkey Shoulder,Glenlivet 12,Glenmorangie 10 Original,Arran 10,Amrut Cask Strength,AnCnoc 12,Glenkinchie 12,Glenfiddich 15,Glenfiddich 18,Glenlivet 16 Nadurra,Clynelish 14,Glenlivet 18,Royal Lochnagar 12,Dalwhinnie 15,Balvenie 12 Doublewood,Oban 14,Auchentoshan Valinch,Connemara Peated,Macallan 10 Fine Oak,Auchentoshan Three Wood,Cragganmore 12,Balvenie 15 Single Barrel,Tomatin 12,Old Pulteney 12,Balvenie 12 Single Barrel First Fill,Redbreast 21,BenRiach 12,Balvenie 17 Doublewood,Aberlour 10,Glenfarclas 17,Craigellachie 13,Aultmore 12,Tobermory 10,Glenfarclas 12,Cardhu 12,Aberlour 12 Double Cask Matured,Chivas Regal 12,Bunnahabhain 12,Arran 14,Aberlour 12 Non Chill Filtered,Auchentoshan Classic,0.4652,0.4422,0.3661,0.3633,0.3548,0.3307,0.3184,0.3177,0.3169,0.2957,0.2926,0.2829,0.2748,0.2602,0.2536,0.2532,0.2525,0.2484,0.2465,0.2461,0.2451,0.2449,0.243,0.2425,0.2418,0.2359,0.2358,0.2254,0.2252,0.2218,0.2204,0.2204,0.2163,0.2097,0.209,0.2086,0.2075,0.2059,0.2058,0.2046,0.202,0.2014,0.2003,0.1996,0.1996,0.1989,0.1988,0.1982,0.1972,0.1947
J&B Rare,Johnnie Walker Red Label,Cutty Sark,Johnnie Walker Black Label,Dewar's White Label,Dewar's 12,Black Bottle,Chivas Regal 12,Johnnie Walker Gold Label,Buchanan's 12 De Luxe,Famous Grouse,Black Grouse,Johnnie Walker Blue Label,Johnnie Walker Green Label,Jameson,Johnnie Walker Double Black,Highland Park 12,Johnnie Walker Platinum Label,Compass Box Great King St. Glasgow Blend,Té Bheag,Ardbeg 10,Ardmore Traditional Cask Peated,Ledaig 10,Bowmore Legend,Longrow Peated,Glenlivet 12,BenRiach 10 Curiositas,Caol Ila 12,Compass Box Asyla,Finlaggan Old Reserve,Compass Box Hedonism,Speyburn 10,Springbank 10,Ardbeg Corryvreckan,Benromach 10,Connemara Peated,Ardbeg Uigeadail,Laphroaig Quarter Cask,Laphroaig 10,McClelland Islay,Compass Box Peat Monster,Lagavulin 16,Mackinlay's Shackleton Rare Old Highland Malt Whisky,Bowmore 12,Oban 14,AnCnoc Flaughter,Kilchoman Machir Bay,Aberfeldy 12,Compass Box Great King St. Artist's Blend,Lagavulin 12,Amrut Peated Cask Strength,0.5456,0.4663,0.4616,0.4499,0.4216,0.4071,0.3965,0.3713,0.3606,0.3406,0.332,0.3145,0.307,0.3035,0.2981,0.2949,0.2943,0.2934,0.2795,0.278,0.2745,0.2667,0.2634,0.2596,0.2561,0.252,0.249,0.2488,0.2479,0.2462,0.2458,0.2453,0.245,0.2439,0.2425,0.2414,0.2406,0.2376,0.237,0.2348,0.2317,0.2311,0.2299,0.2292,0.2292,0.2275,0.2272,0.2255,0.225,0.2242
Ledaig 18,Ardbeg Uigeadail,Laphroaig Triplewood,Lagavulin 16,Laphroaig 18,Kilchoman Loch Gorm,Laphroaig Quarter Cask,Ledaig 10,Benromach 10,Ardbeg Ardbog,Kilchoman Sanaig,Ardbeg Dark Cove Committee Release,Kilchoman Machir Bay,Ardbeg 10,Springbank 15,Ardbeg Corryvreckan,Springbank 10,Laphroaig 10,Bruichladdich Port Charlotte Scottish Barley,Bowmore 15 Darkest,Bruichladdich Octomore 6.1,Highland Park 12,Ledaig 7 /r/Scotch Community Cask,Bunnahabhain 12,Laphroaig Cairdeas 2013 Portwood,Laphroaig 10 Cask Strength,Caol Ila 12,Lagavulin 12,Lagavulin 8,Laphroaig PX Cask,Laphroaig Lore,Laphroaig Cairdeas 2015,Laphroaig Cairdeas 2014 Amontillado,Ardbeg Galileo,Ardmore Traditional Cask Peated,Talisker 10,Kilchoman Sherry Cask Release,Longrow Peated,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Highland Park 18,Amrut Fusion,Jura Superstition,Talisker 57° North,Bowmore 12,Bruichladdich Octomore 4.2_167 Comus,Bruichladdich Octomore 7.2,BenRiach 10 Curiositas,Laphroaig An Cuan Mor,Highland Park Dark Origins,Ardbeg Day,BenRiach 17 Solstice,0.6119,0.5679,0.5634,0.5536,0.5429,0.5423,0.5422,0.5318,0.53,0.5292,0.5269,0.5262,0.5262,0.5262,0.5247,0.5242,0.5212,0.519,0.5126,0.5079,0.4984,0.4979,0.4954,0.4951,0.4906,0.4892,0.4869,0.4865,0.486,0.4859,0.4846,0.4842,0.4819,0.4776,0.4769,0.4739,0.4734,0.4719,0.4699,0.4622,0.4622,0.461,0.4523,0.4503,0.4487,0.4459,0.4448,0.4443,0.4435,0.4402
Ardbeg Supernova 2014,Ardbeg Uigeadail,Lagavulin 16,Ardbeg 10,Laphroaig Quarter Cask,Laphroaig 18,Caol Ila 12,Bruichladdich Octomore 6.1,Laphroaig 10,Lagavulin 12,Ardbeg Corryvreckan,Kilchoman Machir Bay,Ledaig 10,Bruichladdich Port Charlotte Scottish Barley,Ardbeg Ardbog,Talisker 10,Laphroaig 10 Cask Strength,Lagavulin 8,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Highland Park 12,Laphroaig Triplewood,Benromach 10,Bowmore 12,Kilchoman Loch Gorm,Ardmore Traditional Cask Peated,Springbank 10,Longrow Peated,Talisker 57° North,Springbank 15,Bunnahabhain Toiteach,Compass Box Peat Monster,Ardbeg Galileo,BenRiach 10 Curiositas,Laphroaig Lore,Laphroaig Cairdeas 2016 Madeira,Bowmore 15 Darkest,Balvenie 17 Peated Cask,Bruichladdich Port Charlotte 10,Laphroaig Cairdeas 2013 Portwood,Laphroaig Cairdeas 2015,Finlaggan Old Reserve,Ardbeg Perpetuum,Ardbeg Airigh Nam Beist 1990,Laphroaig Cairdeas 2012 Origin,Highland Park 18,Highland Park 15 Loki,Amrut Peated Cask Strength,Laphroaig Cairdeas 2014 Amontillado,Jura Superstition,Ledaig 7 /r/Scotch Community Cask,Bruichladdich The Laddie Ten,0.5935,0.5902,0.5745,0.5642,0.5616,0.5555,0.5507,0.5505,0.5491,0.5444,0.5407,0.5377,0.5362,0.5323,0.5315,0.5135,0.5135,0.5092,0.5053,0.5049,0.5007,0.4877,0.4853,0.4823,0.4812,0.4778,0.4739,0.4699,0.4689,0.4671,0.4661,0.4584,0.4583,0.4578,0.4569,0.4518,0.4516,0.4494,0.4488,0.4455,0.4434,0.4422,0.4326,0.432,0.4293,0.427,0.4244,0.4184,0.4181,0.4178
Wild Turkey Kentucky Spirit,Wild Turkey Rare Breed,Wild Turkey 101,Russell's Reserve Single Barrel Bourbon,Wild Turkey Forgiven,Wild Turkey 101 Rye,Wild Turkey Decades,Blanton's Original Single Barrel,Four Roses Single Barrel,Russell's Reserve 10,Colonel E.H. Taylor Small Batch,Old Grand Dad 114,Four Roses Single Barrel Private Selection OBSQ,Bulleit Bourbon,Russell's Reserve Single Barrel Rye,Elmer T. Lee,1792 Small Batch,Michter's Barrel Strength Rye,Old Grand Dad 100 Bottled in Bond,Blanton's Straight from the Barrel,Eagle Rare 10,Orphan Barrel Barterhouse 20,Booker's Bourbon,Woodford Reserve Distiller's Select,1792 Ridgemont Reserve,Four Roses Small Batch,Rittenhouse Rye 100,Thomas H. Handy 2013,Bulleit Rye,Pikesville Rye,High West Bourye,Noah's Mill,Buffalo Trace,WhistlePig 10 Straight Rye,Wild Turkey 81,Henry McKenna 10 Single Barrel,Sazerac Rye,Elijah Craig 12,High West Double Rye,Willett Family Estate Rye 4y,Colonel E.H. Taylor Barrel Proof,Knob Creek Rye,Booker's Rye,George T. Stagg 2013,Elijah Craig Barrel Proof,Michter's 10 Rye,Colonel E.H. Taylor Straight Rye,High West A Midwinter Nights Dram,Four Roses Small Batch Limited Edition 2013 125th Anniversary,1792 Full Proof,High West Rendezvous Rye,0.5367,0.461,0.3969,0.3497,0.3493,0.3214,0.3031,0.2899,0.2885,0.2876,0.2848,0.2809,0.2801,0.2727,0.2684,0.2636,0.2553,0.2546,0.2529,0.2526,0.2513,0.2487,0.2464,0.2421,0.2409,0.2401,0.2386,0.2371,0.2368,0.2337,0.2321,0.2273,0.224,0.2238,0.2206,0.2192,0.2188,0.2158,0.2144,0.2139,0.2111,0.2097,0.209,0.2088,0.2081,0.2078,0.207,0.2061,0.2037,0.203
Hazelburn 10,AnCnoc 12,Arran 10,Glenlivet 12,Glenmorangie 10 Original,Glenfiddich 12,Glenlivet 16 Nadurra,Glenkinchie 12,Dalwhinnie 15,Tobermory 10,Cragganmore 12,Deanston 12,Aultmore 12,Craigellachie 13,Monkey Shoulder,AnCnoc 16,Oban 14,Macallan 10 Fine Oak,Clynelish 14,Speyburn 10,Arran 14,Bruichladdich The Laddie Ten,Compass Box Enlightenment,Deanston Virgin Oak,Kilkerran 12,Yellow Spot,Balvenie 12 Single Barrel First Fill,Glenmorangie Astar,Auchentoshan Valinch,Green Spot,Johnnie Walker Green Label,Balvenie 15 Single Barrel,Auchentoshan Classic,Cardhu 12,Old Pulteney 12,Glenlivet 18,Bushmills 10,Auchentoshan 12,Compass Box Oak Cross,Jameson,Glenfarclas 17,Springbank 10,Glenmorangie 18,Glen Garioch Founder's Reserve,Scapa 16,Balvenie 12 Doublewood,Glen Garioch 12,Arran Amarone Cask Finish,Glenlivet 15 French Oak Reserve,Aberfeldy 12,Glenfiddich 15,0.3575,0.294,0.2867,0.2762,0.2734,0.2685,0.2681,0.2617,0.2508,0.2454,0.2404,0.24,0.2361,0.2349,0.2348,0.2307,0.2266,0.2254,0.225,0.2224,0.2223,0.2187,0.2157,0.2149,0.2077,0.2051,0.2047,0.1941,0.1915,0.1909,0.1904,0.1897,0.1876,0.1864,0.1843,0.1774,0.1715,0.1681,0.1666,0.1618,0.1596,0.158,0.1556,0.1554,0.1521,0.1518,0.1514,0.1511,0.1489,0.1484
Black Grouse,Johnnie Walker Black Label,Johnnie Walker Green Label,Black Bottle,Compass Box Great King St. Glasgow Blend,Highland Park 12,Dewar's 12,Ardbeg Uigeadail,Johnnie Walker Blue Label,Johnnie Walker Gold Label,Té Bheag,Lagavulin 16,Benromach 10,Ardbeg 10,Bowmore 12,Laphroaig Quarter Cask,Buchanan's 12 De Luxe,Johnnie Walker Red Label,Chivas Regal 12,Johnnie Walker Double Black,Compass Box Peat Monster,Laphroaig 10,Caol Ila 12,Talisker 10,Compass Box Great King St. Artist's Blend,Oban 14,Finlaggan Old Reserve,Lagavulin 12,Springbank 10,Highland Park 18,Lagavulin 8,Kilchoman Machir Bay,Springbank 15,J&B Rare,Laphroaig 18,Ledaig 10,Ardbeg Corryvreckan,Monkey Shoulder,Bowmore 15 Darkest,Bunnahabhain 12,Jura Superstition,Amrut Fusion,Bruichladdich Port Charlotte Scottish Barley,Sheep Dip,Ardmore Traditional Cask Peated,BenRiach 10 Curiositas,Ardbeg Ardbog,Famous Grouse,Ardbeg Galileo,Compass Box Flaming Heart,Balvenie 17 Peated Cask,0.5316,0.5043,0.4727,0.4692,0.4235,0.4005,0.4003,0.3965,0.3944,0.3944,0.393,0.39,0.3789,0.3758,0.3667,0.3662,0.3656,0.3604,0.3594,0.3581,0.3573,0.357,0.3566,0.3554,0.3549,0.351,0.3474,0.346,0.3415,0.3412,0.3373,0.3352,0.332,0.3308,0.3303,0.3255,0.3243,0.3218,0.3178,0.3155,0.3154,0.3144,0.3143,0.3138,0.3137,0.3111,0.3109,0.3106,0.3074,0.3057
Four Roses Single Barrel Private Selection OESF,Four Roses Single Barrel Private Selection OESK,Four Roses Single Barrel Limited Edition 2014,Four Roses Small Batch Limited Edition 2014,Four Roses Small Batch Limited Edition 2016,Four Roses Single Barrel,Four Roses Small Batch,Four Roses Small Batch Limited Edition 2013 125th Anniversary,Four Roses Single Barrel Private Selection OESQ,Four Roses Single Barrel Private Selection OBSQ,Four Roses Single Barrel Private Selection OBSF,Bulleit Bourbon 10,Four Roses Single Barrel Private Selection OBSK,Bulleit Bourbon,Four Roses Small Batch Limited Edition 2015,Bulleit Rye,Four Roses Yellow Label,Four Roses Single Barrel Private Selection OBSV,Smooth Ambler Old Scout Rye 7,Russell's Reserve Single Barrel Bourbon,Willett Family Estate Rye 4y,Smooth Ambler Old Scout Bourbon 10,High West Bourye,High West Rendezvous Rye,Colonel E.H. Taylor Straight Rye,Old Grand Dad 114,Thomas H. Handy 2013,Blanton's Straight from the Barrel,High West Double Rye,WhistlePig 10 Straight Rye,Wild Turkey 101,Rittenhouse Rye 100,Colonel E.H. Taylor Small Batch,Willett Family Estate Rye 3y,Booker's Rye,Woodford Reserve Distiller's Select,Michter's 10 Rye,Russell's Reserve Single Barrel Rye,Basil Hayden's,George T. Stagg 2017,Sazerac Rye,Wild Turkey Rare Breed,Knob Creek Rye,Old Forester 1920,Old Grand Dad 100 Bottled in Bond,Blanton's Original Single Barrel,Elmer T. Lee,Henry McKenna 10 Single Barrel,Buffalo Trace,Pikesville Rye,Smooth Ambler Old Scout Rye 8,0.5754,0.5347,0.5322,0.498,0.4929,0.4712,0.4679,0.4538,0.4526,0.4445,0.4169,0.4149,0.3887,0.3555,0.3218,0.3044,0.3024,0.3003,0.2895,0.2798,0.275,0.2745,0.268,0.2621,0.2592,0.2549,0.2497,0.2484,0.2474,0.2473,0.2436,0.2405,0.2273,0.2249,0.2237,0.2193,0.2161,0.2146,0.2129,0.2124,0.212,0.2108,0.2107,0.2075,0.2068,0.2066,0.206,0.205,0.2043,0.2029
Ardbeg Drum Committee Release,Balvenie 14 Caribbean Cask,Ardbeg 10,Bruichladdich Port Charlotte Scottish Barley,Springbank 10,Talisker 10,Caol Ila 12,Ledaig 10,Laphroaig 18,Laphroaig Quarter Cask,Ardbeg Corryvreckan,Springbank 15,Kilchoman Machir Bay,Bruichladdich Octomore 6.1,Ardbeg Uigeadail,Lagavulin 16,Bowmore 12,Benromach 10,Ardbeg Ardbog,Longrow Peated,Talisker 57° North,Highland Park 12,Kilchoman Sanaig,Lagavulin 8,Ledaig 7 /r/Scotch Community Cask,Lagavulin 12,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Ardbeg Galileo,Laphroaig Cairdeas 2016 Madeira,Amrut Fusion,Laphroaig 10,Compass Box Peat Monster,BenRiach 10 Curiositas,Ardbeg Airigh Nam Beist 1990,Ardmore Traditional Cask Peated,Laphroaig 10 Cask Strength,AnCnoc Flaughter,Bunnahabhain Toiteach,Balvenie 17 Peated Cask,Springbank 18,Bruichladdich The Laddie Ten,Bruichladdich Octomore 7.2,Talisker Storm,Talisker 18,Bruichladdich Port Charlotte The Peat Project,Bruichladdich Port Charlotte 10,Laphroaig Cairdeas 2012 Origin,Ardbeg Perpetuum,Amrut Peated Cask Strength,Laphroaig Cairdeas 2014 Amontillado,Laphroaig Cairdeas 2015,0.4842,0.4621,0.4545,0.4534,0.452,0.4456,0.4425,0.4418,0.441,0.4401,0.4361,0.4308,0.4283,0.4208,0.4193,0.412,0.4116,0.4105,0.4086,0.4075,0.4067,0.4065,0.4029,0.3989,0.3982,0.3959,0.3956,0.3934,0.3908,0.3893,0.3843,0.3824,0.3768,0.3737,0.3722,0.3718,0.37,0.362,0.3577,0.352,0.3507,0.3494,0.3483,0.3466,0.3452,0.3421,0.3397,0.3385,0.3365,0.3355
Tamdhu 10,Glenmorangie Lasanta,GlenDronach 12 Original,GlenDronach 15 Revival,Glenfarclas 105 Cask Strength,Glenfarclas 12,Macallan 12 Sherry,Balvenie 12 Doublewood,Macallan Sherry Cask Strength,Glenfarclas 17,Aberlour 12 Non Chill Filtered,Aberlour A'bunadh batch #45,BenRiach 12 Sherry Matured,Aberlour 12 Double Cask Matured,Macallan Edition No. 2,Aberlour 16,Aberlour A'bunadh batch #46,Macallan 12 Double Cask,Glenfarclas 25,Bunnahabhain 12,Macallan 18 Sherry,GlenDronach 21 Parliament,Tomatin 12,Glengoyne 21,Glenfarclas 15,Aberlour A'bunadh batch #47,Aberlour 18,Tobermory 15,Balvenie Tun 1401 Batch #3,Kavalan Solist Sherry,Balvenie 17 Doublewood,Balvenie 15 Single Barrel Sherry Cask,Bunnahabhain 18,Auchentoshan Three Wood,Macallan 15 Fine Oak,Glenfiddich 15,Aberlour 10,GlenDronach 18 Allardice,Benrinnes 23,Springbank 12 Cask Strength,Dalmore 15,Glenfarclas 40,Glenlivet 18,Glengoyne 25,Glenfarclas 10,Bruichladdich Black Art 2.2,Macallan 12,Benrinnes 14 1999 Lady of the Glen,Glengoyne 18,Tomatin 18,Dalmore 12,0.485,0.4695,0.4632,0.4622,0.4584,0.458,0.4474,0.4361,0.4239,0.4203,0.397,0.3966,0.3924,0.3888,0.3866,0.3863,0.3804,0.3733,0.3708,0.3694,0.3679,0.3631,0.3618,0.3603,0.36,0.3536,0.3447,0.3443,0.3389,0.3385,0.3378,0.3376,0.3373,0.3366,0.3321,0.3314,0.329,0.3205,0.3202,0.3188,0.3185,0.3167,0.3165,0.3142,0.314,0.3116,0.2974,0.2923,0.2887,0.2877
Eagle Rare 17,Eagle Rare 10,Buffalo Trace,Elmer T. Lee,Colonel E.H. Taylor Small Batch,Stagg Jr.,Blanton's Original Single Barrel,Elijah Craig 12,Buffalo Trace White Dog Mash #1,Bulleit Bourbon,Woodford Reserve Distiller's Select,Four Roses Single Barrel,George T. Stagg 2013,Wild Turkey Rare Breed,Orphan Barrel Barterhouse 20,George T. Stagg 2012,W.L. Weller 12,Black Maple Hill,Russell's Reserve Single Barrel Bourbon,Blanton's Straight from the Barrel,Four Roses Small Batch Limited Edition 2013 125th Anniversary,Four Roses Small Batch,Wild Turkey 101,Rebel Yell 10 Single Barrel,Colonel E.H. Taylor Cured Oak,Old Grand Dad 114,Henry McKenna 10 Single Barrel,Old Forester 86,Bulleit Bourbon 10,Colonel E.H. Taylor Barrel Proof,Elijah Craig Barrel Proof,Noah's Mill,Glenlivet 16 Nadurra,Evan Williams Single Barrel 2003,High West Bourye,Booker's Bourbon,Balvenie 12 Doublewood,1792 Ridgemont Reserve,Colonel E.H. Taylor Single Barrel,Glenmorangie 10 Original,Van Winkle Special Reserve 12 Lot B,Balvenie 15 Single Barrel,1792 Full Proof,Old Rip Van Winkle 10,Old Grand Dad 100 Bottled in Bond,Rock Hill Farms Single Barrel Bourbon,Old Weller Antique 107,Glenfiddich 18,Michter's 10 Bourbon,Four Roses Yellow Label,Woodford Reserve Double Oaked,0.5019,0.4929,0.3428,0.3329,0.3184,0.2974,0.2555,0.2534,0.2462,0.242,0.2269,0.2245,0.2244,0.2214,0.2212,0.2173,0.2169,0.215,0.2125,0.2049,0.2012,0.2004,0.1935,0.1929,0.1919,0.1903,0.1895,0.1889,0.1888,0.1857,0.1777,0.1775,0.1766,0.1758,0.1752,0.1735,0.1725,0.1725,0.1701,0.1694,0.1691,0.1674,0.1664,0.1661,0.1657,0.1624,0.1617,0.1613,0.1575,0.1562
